"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\RemoveTournamentTeamModal.tsx", "TypeScript JSX", 0, 74, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\RequestJoinTournamentModal.tsx", "TypeScript JSX", 0, 74, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\TournamentBracket.tsx", "TypeScript JSX", 0, 109, 0, 2, 15, 126
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\index.tsx", "TypeScript JSX", 0, 483, 0, 0, 29, 512
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentList\TournamentSmallCard.tsx", "TypeScript JSX", 0, 44, 0, 0, 6, 50
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentList\index.tsx", "TypeScript JSX", 0, 94, 0, 0, 8, 102
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\index.css", "CSS", 0, 0, 25, 0, 6, 31
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\index.tsx", "TypeScript JSX", 0, 36, 0, 3, 5, 44
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\AdminPanel.tsx", "TypeScript JSX", 0, 55, 0, 0, 8, 63
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Auth\LoginPage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Auth\LogoutPage.tsx", "TypeScript JSX", 0, 20, 0, 0, 6, 26
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Auth\RegisterPage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\EmptyPage.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\AllGamesPage.tsx", "TypeScript JSX", 0, 49, 0, 0, 4, 53
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\CreateGamePage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\EditGamePage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\GamePage.tsx", "TypeScript JSX", 0, 30, 0, 0, 5, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\MyGamesPage.tsx", "TypeScript JSX", 0, 57, 0, 0, 6, 63
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\NotFoundPage.tsx", "TypeScript JSX", 0, 18, 0, 0, 4, 22
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Profile\EditProfilePage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Profile\ProfilePage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\StartingPage.tsx", "TypeScript JSX", 0, 114, 0, 0, 5, 119
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Team\CreateTeamPage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Team\EditTeamPage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Team\MyTeamsPage.tsx", "TypeScript JSX", 0, 57, 0, 0, 6, 63
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Team\TeamPage.tsx", "TypeScript JSX", 0, 43, 0, 0, 5, 48
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\AllTournamentsPage.tsx", "TypeScript JSX", 0, 49, 0, 0, 4, 53
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\CreateTournamentPage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\EditTournamentPage.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\MyTournamentsPage.tsx", "TypeScript JSX", 0, 57, 0, 0, 6, 63
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\TournamentPage.tsx", "TypeScript JSX", 0, 43, 0, 0, 5, 48
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\admin.service.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\api.ts", "TypeScript", 62, 0, 0, 0, 11, 73
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\auth.service.ts", "TypeScript", 40, 0, 0, 0, 5, 45
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\game.service.ts", "TypeScript", 121, 0, 0, 0, 15, 136
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\set.service.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\team.service.ts", "TypeScript", 55, 0, 0, 0, 9, 64
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\tournament.service.ts", "TypeScript", 102, 0, 0, 0, 13, 115
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\user.service.ts", "TypeScript", 21, 0, 0, 0, 3, 24
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\setupTests.ts", "TypeScript", 1, 0, 0, 4, 1, 6
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\store\alert-slice.ts", "TypeScript", 27, 0, 0, 0, 5, 32
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\store\auth-slice.ts", "TypeScript", 40, 0, 0, 0, 7, 47
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\store\index.ts", "TypeScript", 44, 0, 0, 0, 8, 52
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\utils\helpers.ts", "TypeScript", 31, 0, 0, 1, 5, 37
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\utils\hooks.ts", "TypeScript", 5, 0, 0, 0, 2, 7
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\utils\types.ts", "TypeScript", 163, 0, 0, 0, 15, 178
"Total", "-", 735, 6857, 25, 22, 647, 8286
