"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamList\TeamSmallCard.tsx", "TypeScript JSX", 43, 0, 0, 0, 5, 48
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamList\index.tsx", "TypeScript JSX", 152, 0, 0, 0, 12, 164
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\CreateTournamentForm.tsx", "TypeScript JSX", 335, 0, 0, 0, 14, 349
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\EditTournamentForm.tsx", "TypeScript JSX", 356, 0, 0, 0, 14, 370
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\AcceptTournamentTeamModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\DeleteTournamentModal.tsx", "TypeScript JSX", 63, 0, 0, 0, 8, 71
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\RemoveTournamentTeamModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\RequestJoinTournamentModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\TournamentBracket.tsx", "TypeScript JSX", 129, 0, 0, 1, 16, 146
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\TournamentSettings.tsx", "TypeScript JSX", 89, 0, 0, 0, 6, 95
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\index.tsx", "TypeScript JSX", 516, 0, 0, 0, 30, 546
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentList\TournamentSmallCard.tsx", "TypeScript JSX", 45, 0, 0, 0, 6, 51
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentList\index.tsx", "TypeScript JSX", 155, 0, 0, 0, 12, 167
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\index.css", "CSS", 0, 0, 26, 0, 6, 32
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\index.tsx", "TypeScript JSX", 36, 0, 0, 3, 5, 44
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Admin\AdminPanelPage.tsx", "TypeScript JSX", 30, 0, 0, 0, 6, 36
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Admin\UsersListPage.tsx", "TypeScript JSX", 30, 0, 0, 0, 6, 36
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Auth\LoginPage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Auth\LogoutPage.tsx", "TypeScript JSX", 20, 0, 0, 0, 6, 26
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Auth\RegisterPage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\EmptyPage.tsx", "TypeScript JSX", 5, 0, 0, 0, 3, 8
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\AllGamesPage.tsx", "TypeScript JSX", 49, 0, 0, 0, 4, 53
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\CreateGamePage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\EditGamePage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\GamePage.tsx", "TypeScript JSX", 30, 0, 0, 0, 5, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\MyGamesPage.tsx", "TypeScript JSX", 57, 0, 0, 0, 6, 63
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\NotFoundPage.tsx", "TypeScript JSX", 18, 0, 0, 0, 4, 22
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Profile\EditProfilePage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Profile\ProfilePage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\StartingPage.tsx", "TypeScript JSX", 114, 0, 0, 0, 5, 119
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Team\CreateTeamPage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Team\EditTeamPage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Team\MyTeamsPage.tsx", "TypeScript JSX", 57, 0, 0, 0, 6, 63
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Team\TeamPage.tsx", "TypeScript JSX", 43, 0, 0, 0, 5, 48
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\AllTournamentsPage.tsx", "TypeScript JSX", 49, 0, 0, 0, 4, 53
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\CreateTournamentPage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\EditTournamentPage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\MyTournamentsPage.tsx", "TypeScript JSX", 57, 0, 0, 0, 6, 63
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Tournament\TournamentPage.tsx", "TypeScript JSX", 43, 0, 0, 0, 5, 48
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\api.ts", "TypeScript", 0, 68, 0, 0, 11, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\auth.service.ts", "TypeScript", 0, 40, 0, 0, 5, 45
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\game.service.ts", "TypeScript", 0, 122, 0, 0, 15, 137
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\set.service.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\team.service.ts", "TypeScript", 0, 57, 0, 0, 9, 66
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\tournament.service.ts", "TypeScript", 0, 110, 0, 0, 14, 124
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\user.service.ts", "TypeScript", 0, 36, 0, 0, 6, 42
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\setupTests.ts", "TypeScript", 0, 1, 0, 4, 1, 6
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\store\alert-slice.ts", "TypeScript", 0, 27, 0, 0, 5, 32
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\store\auth-slice.ts", "TypeScript", 0, 45, 0, 0, 8, 53
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\store\index.ts", "TypeScript", 0, 44, 0, 0, 8, 52
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\utils\helpers.ts", "TypeScript", 0, 38, 0, 1, 8, 47
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\utils\hooks.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\utils\types.ts", "TypeScript", 0, 178, 0, 0, 16, 194
"Total", "-", 7862, 790, 26, 22, 726, 9426
